country,iso2,callingCode,nationalPattern,e164Example,nationalDigits,fixtureSafety,sourceUrl
"United States","US","+1","(NPA) NXX-XXXX","+12025550123","10","Uses the reserved 555-01xx fictional block","https://www.nanpa.com/numbering/555-line-numbers"
"Canada","CA","+1","(NPA) NXX-XXXX","+14165550123","10","Uses the reserved 555-01xx fictional block","https://www.cnac.ca/about/mandate.htm"
"United Kingdom","GB","+44","07xxx xxxxxx","+447700900123","10 after +44","Uses Ofcom's 07700 900xxx drama range","https://www.ofcom.org.uk/phones-and-broadband/phone-numbers/numbers-for-drama"
"Australia","AU","+61","04xx xxx xxx","+61491570006","9 after +61","Example is from ACMA's published creative-work list","https://www.acma.gov.au/phone-numbers-use-tv-shows-films-and-creative-works"
"China","CN","+86","1xx xxxx xxxx","+8613012345678","11","Structural example; may coincide with an assigned number","https://nac.miit.gov.cn/"
"India","IN","+91","xxxxx xxxxx","+919876543210","10","Structural example; may coincide with an assigned number","https://www.dot.gov.in/"
"Germany","DE","+49","01xx xxxxxxx","+4915112345678","Variable","Structural example; may coincide with an assigned number","https://www.bundesnetzagentur.de/EN/Areas/Telecommunications/Numbering/start.html"
"France","FR","+33","06 xx xx xx xx","+33639981234","9 after +33","Structural example; review current Arcep rules","https://www.arcep.fr/la-regulation/grands-dossiers-thematiques-transverses/la-numerotation.html"
"Japan","JP","+81","0x0-xxxx-xxxx","+819012345678","9-10 after +81","Structural example; may coincide with an assigned number","https://www.itu.int/en/ITU-T/inr/forms/Pages/dialling.aspx"
"Brazil","BR","+55","(AA) 9xxxx-xxxx","+5511987654321","11 mobile digits","Structural example; may coincide with an assigned number","https://www.gov.br/anatel/pt-br/regulado/numeracao/tabela-servico-movel-celular"
"Mexico","MX","+52","xx xxxx xxxx","+525512345678","10","Structural example; may coincide with an assigned number","https://www.ift.org.mx/comunicacion-y-medios/marcacion-a-10-digitos"
"Spain","ES","+34","6xx xxx xxx","+34612345678","9","Structural example; may coincide with an assigned number","https://www.cnmc.es/sectores-que-regulamos/telecomunicaciones/registros-de-numeracion"
"Italy","IT","+39","3xx xxx xxxx","+393123456789","10 mobile digits","Structural example; may coincide with an assigned number","https://www.agcom.it/competenze/comunicazioni-elettroniche/reti/numerazione/piano-di-numerazione"
"Netherlands","NL","+31","06 xxxxxxxx","+31612345678","9 after +31","Structural example; may coincide with an assigned number","https://www.acm.nl/nl/telefoonnummers/nummers-en-codes-voor-telecomaanbieders"
"Sweden","SE","+46","070-xxx xx xx","+46701234567","9 after +46","Structural example; may coincide with an assigned number","https://www.pts.se/en/internet-and-telephony/numbering-and-addressing/"
"Switzerland","CH","+41","079 xxx xx xx","+41791234567","9 after +41","Structural example; may coincide with an assigned number","https://www.bakom.admin.ch/en/numbering-and-telephony"
"Singapore","SG","+65","9xxx xxxx","+6591234567","8","Structural example; may coincide with an assigned number","https://www.imda.gov.sg/-/media/imda/files/regulation-licensing-and-consultations/frameworks-and-policies/numbering/national-numbering-plan-and-allocation-process/2chapter_2_the_national_numbering_scheme.pdf"
"South Korea","KR","+82","010-xxxx-xxxx","+821012345678","10 after +82","Structural example; may coincide with an assigned number","https://www.itu.int/en/ITU-T/inr/forms/Pages/dialling.aspx"
"New Zealand","NZ","+64","021 xxx xxxx","+64211234567","Variable","Structural example; may coincide with an assigned number","https://www.nad.org.nz/resources"
"United Arab Emirates","AE","+971","05x xxx xxxx","+971501234567","9 after +971","Structural example; may coincide with an assigned number","https://tdra.gov.ae/-/media/About/regulations-and-ruling/EN/National-Number-Plan-pdf.ashx"
